Country,Clicks,Impressions,CTR,Position
India,189,15612,1.21%,16.07
United States,8,6799,0.12%,8.42
United Kingdom,7,422,1.66%,13.21
Australia,4,182,2.2%,8.47
Singapore,3,113,2.65%,7.32
Netherlands,2,74,2.7%,6.77
Kuwait,2,23,8.7%,7.13
Canada,1,383,0.26%,7.14
United Arab Emirates,1,244,0.41%,7.91
Pakistan,1,108,0.93%,7.65
Malaysia,1,100,1%,6.22
Germany,1,91,1.1%,7.41
Japan,1,58,1.72%,4.5
Italy,1,38,2.63%,9.89
Israel,1,28,3.57%,8.29
Sweden,1,19,5.26%,5.53
Bahrain,1,13,7.69%,4.46
Brunei,1,4,25%,5.25
Brazil,0,303,0%,6.41
Vietnam,0,103,0%,7.66
Mexico,0,87,0%,9.07
Philippines,0,75,0%,7.87
Spain,0,74,0%,6.07
China,0,71,0%,7.18
France,0,67,0%,6.64
Saudi Arabia,0,67,0%,8.72
Argentina,0,63,0%,7.38
Colombia,0,61,0%,7.49
Hong Kong,0,48,0%,7.62
Turkey,0,47,0%,7.04
Indonesia,0,47,0%,8
Nepal,0,44,0%,7.39
South Korea,0,43,0%,7.23
Ukraine,0,38,0%,6
Bangladesh,0,38,0%,8.92
New Zealand,0,34,0%,7.26
Thailand,0,32,0%,6.91
Sri Lanka,0,31,0%,7.26
Iran,0,30,0%,5.93
Poland,0,30,0%,7.33
Ireland,0,30,0%,8.37
Qatar,0,29,0%,6.17
Russia,0,29,0%,9.21
South Africa,0,28,0%,8.46
Iraq,0,28,0%,9.54
Chile,0,27,0%,8.56
Ecuador,0,26,0%,7.12
Egypt,0,22,0%,7.27
Peru,0,21,0%,4.71
Denmark,0,21,0%,6.57
Venezuela,0,21,0%,8.33
Norway,0,19,0%,5.95
Nigeria,0,19,0%,10.05
Morocco,0,18,0%,11.11
Taiwan,0,16,0%,6.56
Portugal,0,16,0%,7.5
Albania,0,15,0%,5.8
Switzerland,0,15,0%,6.53
Oman,0,14,0%,7.43
Palestine,0,12,0%,5.92
Paraguay,0,12,0%,8.17
Romania,0,12,0%,10.17
Czechia,0,12,0%,11.5
Kenya,0,11,0%,6.09
Tanzania,0,11,0%,8.27
Serbia,0,11,0%,9.55
Dominican Republic,0,10,0%,6.4
Belgium,0,10,0%,6.8
Algeria,0,10,0%,9.6
Jordan,0,10,0%,11.9
Uzbekistan,0,9,0%,7.22
Greece,0,9,0%,8.44
Jamaica,0,8,0%,5.38
Austria,0,8,0%,6.38
Bulgaria,0,8,0%,8
Uruguay,0,8,0%,8.25
Finland,0,8,0%,9
Croatia,0,7,0%,3.29
Kazakhstan,0,7,0%,4.57
Ghana,0,7,0%,5.57
Panama,0,7,0%,8
Azerbaijan,0,7,0%,15
Puerto Rico,0,6,0%,5.67
Slovenia,0,6,0%,7.17
Cambodia,0,6,0%,7.83
Cuba,0,6,0%,8.33
Mauritius,0,6,0%,9.33
Belarus,0,6,0%,10
Trinidad & Tobago,0,6,0%,10.5
Kosovo,0,5,0%,4
Tunisia,0,5,0%,5
Hungary,0,5,0%,6
Uganda,0,5,0%,6.8
Bahamas,0,5,0%,7
Costa Rica,0,4,0%,4.75
Myanmar (Burma),0,4,0%,4.75
Barbados,0,4,0%,6.25
Slovakia,0,4,0%,6.75
Bolivia,0,4,0%,7
Honduras,0,4,0%,7.25
Bosnia & Herzegovina,0,4,0%,7.5
Mongolia,0,4,0%,8
Ethiopia,0,4,0%,13.25
Côte d’Ivoire,0,4,0%,14.25
Kyrgyzstan,0,4,0%,19
Belize,0,3,0%,1.67
Senegal,0,3,0%,2
Isle of Man,0,3,0%,3.67
Lebanon,0,3,0%,4.33
Somalia,0,3,0%,5
Afghanistan,0,3,0%,6
Latvia,0,3,0%,6.67
Suriname,0,3,0%,6.67
Syria,0,3,0%,6.67
St. Lucia,0,3,0%,7.33
Rwanda,0,3,0%,8
Cayman Islands,0,3,0%,9.33
Papua New Guinea,0,3,0%,9.67
El Salvador,0,3,0%,10
Angola,0,3,0%,14.33
Nicaragua,0,3,0%,15.33
Grenada,0,2,0%,6
Moldova,0,2,0%,6.5
Malawi,0,2,0%,6.5
Estonia,0,2,0%,7.5
Guatemala,0,2,0%,7.5
Sint Maarten,0,2,0%,8.5
Seychelles,0,2,0%,9
Maldives,0,2,0%,9.5
Sudan,0,2,0%,10.5
Georgia,0,2,0%,11.5
Malta,0,2,0%,13.5
U.S. Virgin Islands,0,1,0%,1
Guyana,0,1,0%,2
Yemen,0,1,0%,2
Zambia,0,1,0%,3
Unknown Region,0,1,0%,3
Djibouti,0,1,0%,4
Lithuania,0,1,0%,4
St. Vincent & Grenadines,0,1,0%,4
Aruba,0,1,0%,5
Cyprus,0,1,0%,5
Haiti,0,1,0%,5
Zimbabwe,0,1,0%,5
Antigua & Barbuda,0,1,0%,6
Bermuda,0,1,0%,6
Armenia,0,1,0%,7
Benin,0,1,0%,8
Gabon,0,1,0%,8
Mali,0,1,0%,8
Montenegro,0,1,0%,8
South Sudan,0,1,0%,8
Gambia,0,1,0%,9
Botswana,0,1,0%,10
Congo - Kinshasa,0,1,0%,10
Martinique,0,1,0%,10
Congo - Brazzaville,0,1,0%,11
Western Sahara,0,1,0%,11
Fiji,0,1,0%,11
Luxembourg,0,1,0%,11
Madagascar,0,1,0%,11
Macau,0,1,0%,12